name, block size, decode steps, method, min error, max error, avg error
random_103x96_f64, 4x4x1, [0, 0, 0], standard, 0.0024821635122797003, 0.0024821635122797003, 0.0024821635122797003
random_103x96_f64, 4x4x1, [0, 1, 0], standard, 0.0032063456337267926, 0.004526597245308683, 0.003866471439517738
random_103x96_f64, 4x4x1, [0, 2, 0], standard, 0.0027487075626816404, 0.011702744705739287, 0.006580501902235507
random_103x96_f64, 4x4x1, [0, 3, 0], standard, 0.0008507018179284564, 0.014056319481629886, 0.007329508876075743
random_103x96_f64, 4x4x1, [0, 4, 0], standard, 0.0017339449299010878, 0.026378694033358685, 0.012012789285247067
random_103x96_f64, 4x4x1, [0, 5, 0], standard, 0.00019255132206436043, 0.034624794976179984, 0.014137100806833901
random_103x96_f64, 4x4x1, [0, 6, 0], standard, 0.00028068529463864955, 0.03627787100815766, 0.014268338573263485
random_103x96_f64, 4x4x1, [0, 7, 0], standard, 0.00012938658094080457, 0.03704986088017881, 0.014438060763824484
random_103x96_f64, 4x4x1, [1, 0, 0], standard, 0.00006466047004016762, 0.0044077921532016395, 0.0022362263116209036
random_103x96_f64, 4x4x1, [1, 1, 0], standard, 0, 0.00600150368662955, 0.003503371828675217
random_103x96_f64, 4x4x1, [1, 2, 0], standard, 0, 0.02249725301711203, 0.006588354108145697
random_103x96_f64, 4x4x1, [1, 3, 0], standard, 0, 0.027732431518439293, 0.007578902673021027
random_103x96_f64, 4x4x1, [1, 4, 0], standard, 0, 0.0523358795893355, 0.012482413134421224
random_103x96_f64, 4x4x1, [1, 5, 0], standard, 0, 0.06840481548211896, 0.014429938789276987
random_103x96_f64, 4x4x1, [1, 6, 0], standard, 0.00004485505036055937, 0.07507516230002809, 0.018323311105228238
random_103x96_f64, 4x4x1, [1, 7, 0], standard, 0.00007870195146941761, 0.09075675710128284, 0.021721794096413217
random_103x96_f64, 4x4x1, [2, 0, 0], standard, 0.0014904035730675114, 0.014086665631371675, 0.004727525443047928
random_103x96_f64, 4x4x1, [2, 1, 0], standard, 0, 0.018492570392221963, 0.005254221957459643
random_103x96_f64, 4x4x1, [2, 2, 0], standard, 0, 0.0363493585776139, 0.003563088675340021
random_103x96_f64, 4x4x1, [2, 3, 0], standard, 0, 0.044423710787668824, 0.005103236599270962
random_103x96_f64, 4x4x1, [2, 4, 0], standard, 0, 0.10181270177210011, 0.00998276895483113
random_103x96_f64, 4x4x1, [2, 5, 0], standard, 0, 0.11485674265506007, 0.014690877805973975
random_103x96_f64, 4x4x1, [2, 6, 0], standard, 0.00035022245720028877, 0.19157314969758898, 0.025297137466536484
random_103x96_f64, 4x4x1, [2, 7, 0], standard, 0.0001372466129915817, 0.24626345973727964, 0.035132258062298076
random_103x96_f64, 4x4x1, [3, 0, 0], standard, 0.0004066109637884674, 0.011694260249246968, 0.006939328714554208
random_103x96_f64, 4x4x1, [3, 1, 0], standard, 0, 0.019946056010667235, 0.006539608231907214
random_103x96_f64, 4x4x1, [3, 2, 0], standard, 0, 0.027719244843215862, 0.0015319101734175594
random_103x96_f64, 4x4x1, [3, 3, 0], standard, 0, 0.0333221978507936, 0.0021720302487615827
random_103x96_f64, 4x4x1, [3, 4, 0], standard, 0, 0.07822464905413129, 0.004208493276125415
random_103x96_f64, 4x4x1, [3, 5, 0], standard, 0, 0.08485844159232714, 0.00620627687090919
random_103x96_f64, 4x4x1, [3, 6, 0], standard, 0, 0.09614376976553884, 0.006337278665892374
random_103x96_f64, 4x4x1, [3, 7, 0], standard, 0, 0.11444684264383148, 0.006952836946821866
random_103x96_f64, 4x4x1, [4, 0, 0], standard, 0.002825948176905513, 0.01941493564906216, 0.009583855898336137
random_103x96_f64, 4x4x1, [4, 1, 0], standard, 0, 0.03888005146291107, 0.009208888140414933
random_103x96_f64, 4x4x1, [4, 2, 0], standard, 0, 0.010459017374419788, 0.0003361193899870378
random_103x96_f64, 4x4x1, [4, 3, 0], standard, 0, 0.011119171977043152, 0.0004242447549443103
random_103x96_f64, 4x4x1, [4, 4, 0], standard, 0, 0.031048543618193647, 0.0008300767764585571
random_103x96_f64, 4x4x1, [4, 5, 0], standard, 0, 0.037813827661531296, 0.0010945607512343272
random_103x96_f64, 4x4x1, [4, 6, 0], standard, 0, 0.0492346653980868, 0.001437347689336473
random_103x96_f64, 4x4x1, [4, 7, 0], standard, 0, 0.07420473865100313, 0.002169337034935043
random_103x96_f64, 4x4x1, [5, 0, 0], standard, 0.0010167475556954741, 0.03845341041839373, 0.014225264030616153
random_103x96_f64, 4x4x1, [5, 1, 0], standard, 0, 0.06150955823250115, 0.013171741973238593
random_103x96_f64, 4x4x1, [5, 2, 0], standard, 0, 0.012897555561115381, 0.00028897939512553957
random_103x96_f64, 4x4x1, [5, 3, 0], standard, 0, 0.014652393758296967, 0.00030347122412779855
random_103x96_f64, 4x4x1, [5, 4, 0], standard, 0, 0.04099586481849349, 0.0005699702852970772
random_103x96_f64, 4x4x1, [5, 5, 0], standard, 0, 0.06321635718146956, 0.0008202399401806101
random_103x96_f64, 4x4x1, [5, 6, 0], standard, 0, 0.07759048044681549, 0.0012508875383939757
random_103x96_f64, 4x4x1, [5, 7, 0], standard, 0, 0.14928308129310608, 0.001906520131832132
random_103x96_f64, 4x4x1, [6, 0, 0], standard, 0.0010167475556954741, 0.03845341041839373, 0.013936284635490626
random_103x96_f64, 4x4x1, [6, 1, 0], standard, 0.00006148110454284872, 0.07562188788627583, 0.01885957577271769
random_103x96_f64, 4x4x1, [6, 2, 0], standard, 0.000005111098289489746, 0.10269539322083199, 0.022135980433235197
random_103x96_f64, 4x4x1, [6, 3, 0], standard, 0.0004082818826039447, 0.12216119437168044, 0.02589669939265864
random_103x96_f64, 4x4x1, [6, 4, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [6, 5, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [6, 6, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [6, 7, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [7, 0, 0], standard, 0.0010167475556954186, 0.03845341041839373, 0.014032141308896968
random_103x96_f64, 4x4x1, [7, 1, 0], standard, 0.0006448428612202961, 0.11258672814195353, 0.023651812649422406
random_103x96_f64, 4x4x1, [7, 2, 0], standard, 0.0002022519086797292, 0.15235993126407266, 0.0335063217855797
random_103x96_f64, 4x4x1, [7, 3, 0], standard, 0.0001596690466006967, 0.23510933388024569, 0.04511993697431529
random_103x96_f64, 4x4x1, [7, 4, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [7, 5, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [7, 6, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [7, 7, 0], standard, 0, 0, 0
random_103x96_f64, 4x4x1, [0, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 4x4x1, [0, 1, 0], greedy, 0, 0, 0
random_103x96_f64, 4x4x1, [0, 2, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 4x4x1, [0, 3, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 4x4x1, [0, 4, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000004163336342344337
random_103x96_f64, 4x4x1, [0, 5, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000006013708050052931
random_103x96_f64, 4x4x1, [0, 6, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005435466891393995
random_103x96_f64, 4x4x1, [0, 7, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006649773324577758
random_103x96_f64, 4x4x1, [1, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000005551115123125783
random_103x96_f64, 4x4x1, [1, 1, 0], greedy, 0, 0.00000000000000011102230246251565, 0.000000000000000027755575615628914
random_103x96_f64, 4x4x1, [1, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005551115123125783
random_103x96_f64, 4x4x1, [1, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006013708050052931
random_103x96_f64, 4x4x1, [1, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005088522196198634
random_103x96_f64, 4x4x1, [1, 5, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004972873964466847
random_103x96_f64, 4x4x1, [1, 6, 0], greedy, 0.000488934563655341, 0.023589409117658555, 0.007841965753883937
random_103x96_f64, 4x4x1, [1, 7, 0], greedy, 0.0000629628450804498, 0.05574465391323047, 0.012673932861908058
random_103x96_f64, 4x4x1, [2, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 4x4x1, [2, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006245004513516506
random_103x96_f64, 4x4x1, [2, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004625929269271486
random_103x96_f64, 4x4x1, [2, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.0000000000000000485722573273506
random_103x96_f64, 4x4x1, [2, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005204170427930421
random_103x96_f64, 4x4x1, [2, 5, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000052619945437963134
random_103x96_f64, 4x4x1, [2, 6, 0], greedy, 0, 0.03899675017843646, 0.009179557681717519
random_103x96_f64, 4x4x1, [2, 7, 0], greedy, 0, 0.10818390051523841, 0.016995868790319137
random_103x96_f64, 4x4x1, [3, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000001586032892321652
random_103x96_f64, 4x4x1, [3, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005154606900045369
random_103x96_f64, 4x4x1, [3, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004229421046191072
random_103x96_f64, 4x4x1, [3, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004361590453884543
random_103x96_f64, 4x4x1, [3, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004559844565424751
random_103x96_f64, 4x4x1, [3, 5, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000045928869173481206
random_103x96_f64, 4x4x1, [3, 6, 0], greedy, 0, 0.07086562737822544, 0.016106224572655564
random_103x96_f64, 4x4x1, [3, 7, 0], greedy, 0, 0.1824546170731386, 0.029259186420064878
random_103x96_f64, 4x4x1, [4, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000001708035422500241
random_103x96_f64, 4x4x1, [4, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004483592984063132
random_103x96_f64, 4x4x1, [4, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000039854159858338947
random_103x96_f64, 4x4x1, [4, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000040565841284380724
random_103x96_f64, 4x4x1, [4, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004163336342344339
random_103x96_f64, 4x4x1, [4, 5, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000041811283779953774
random_103x96_f64, 4x4x1, [4, 6, 0], greedy, 0, 0.13542043169339502, 0.02816422000471664
random_103x96_f64, 4x4x1, [4, 7, 0], greedy, 0, 0.25502105429768573, 0.04546623769252063
random_103x96_f64, 4x4x1, [5, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000002989061989375422
random_103x96_f64, 4x4x1, [5, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000042700885562506023
random_103x96_f64, 4x4x1, [5, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000003914247843229718
random_103x96_f64, 4x4x1, [5, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004092168199740162
random_103x96_f64, 4x4x1, [5, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004127752271042245
random_103x96_f64, 4x4x1, [5, 5, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004190024395820892
random_103x96_f64, 4x4x1, [5, 6, 0], greedy, 0.0016602184623479843, 0.1458231769502163, 0.03820429633283966
random_103x96_f64, 4x4x1, [5, 7, 0], greedy, 0.000026009976863861084, 0.2856126228968301, 0.06926923089075625
random_103x96_f64, 4x4x1, [6, 0, 0], greedy, 0.0008209669031202238, 0.02295535632098722, 0.010483377213136127
random_103x96_f64, 4x4x1, [6, 1, 0], greedy, 0.0008721111253614522, 0.04201812483370304, 0.016980395953271027
random_103x96_f64, 4x4x1, [6, 2, 0], greedy, 0.0004972716172534364, 0.06871391475821537, 0.021410298543877215
random_103x96_f64, 4x4x1, [6, 3, 0], greedy, 0.0002850377932190895, 0.09743246218810481, 0.028734578806747704
random_103x96_f64, 4x4x1, [6, 4, 0], greedy, 0.0001130899680511499, 0.11220675799995683, 0.02924035255705094
random_103x96_f64, 4x4x1, [6, 5, 0], greedy, 0.0003079250454902649, 0.2068241728203637, 0.03973451512268725
random_103x96_f64, 4x4x1, [6, 6, 0], greedy, 0.0000018142163752399298, 0.36076641437553214, 0.06953851769761281
random_103x96_f64, 4x4x1, [6, 7, 0], greedy, 0.000009356066584587097, 0.5997950881719589, 0.1331453128312443
random_103x96_f64, 4x4x1, [7, 0, 0], greedy, 0.0003064811850588267, 0.060837856416280034, 0.019595918442240484
random_103x96_f64, 4x4x1, [7, 1, 0], greedy, 0.0000356500968337059, 0.11576553108170629, 0.02995414975386885
random_103x96_f64, 4x4x1, [7, 2, 0], greedy, 0.00014129669095075403, 0.15483976931621657, 0.03733370026859916
random_103x96_f64, 4x4x1, [7, 3, 0], greedy, 0.0000988577182093886, 0.26118325286855304, 0.05354025804441961
random_103x96_f64, 4x4x1, [7, 4, 0], greedy, 0.00008504970797462708, 0.35416494589298986, 0.06247027163745575
random_103x96_f64, 4x4x1, [7, 5, 0], greedy, 0.000013582408428192139, 0.40661168258105007, 0.08863763246330192
random_103x96_f64, 4x4x1, [7, 6, 0], greedy, 0.000014001503586769104, 0.6490519884086792, 0.132438805771368
random_103x96_f64, 4x4x1, [7, 7, 0], greedy, 0.00001269020140171051, inf, inf
random_103x96_f64, 8x8x1, [0, 0, 0], standard, 0.0007561497803115769, 0.0007561497803115769, 0.0007561497803115769
random_103x96_f64, 8x8x1, [0, 1, 0], standard, 0.00008975734358629417, 0.004191158071512935, 0.0021404577075496145
random_103x96_f64, 8x8x1, [0, 2, 0], standard, 0.0010416712962290076, 0.00523015940494076, 0.0037741584729792757
random_103x96_f64, 8x8x1, [0, 3, 0], standard, 0.0024499208697466024, 0.007651368565789629, 0.005082543038593189
random_103x96_f64, 8x8x1, [0, 4, 0], standard, 0.0003995869813929742, 0.011289545971769122, 0.006528445548092727
random_103x96_f64, 8x8x1, [0, 5, 0], standard, 0.0009900419194271426, 0.012577757182090477, 0.006610949041378335
random_103x96_f64, 8x8x1, [0, 6, 0], standard, 0.0002467253297491756, 0.01468212875120084, 0.006610949041378329
random_103x96_f64, 8x8x1, [0, 7, 0], standard, 0.00007750198293393629, 0.015241125737439742, 0.006753447825591858
random_103x96_f64, 8x8x1, [1, 0, 0], standard, 0.000027080192680828397, 0.0009181844119060534, 0.0004726323022934409
random_103x96_f64, 8x8x1, [1, 1, 0], standard, 0, 0.004932596784783527, 0.0018931945435328168
random_103x96_f64, 8x8x1, [1, 2, 0], standard, 0, 0.010015428202817755, 0.0037820106788894656
random_103x96_f64, 8x8x1, [1, 3, 0], standard, 0, 0.01646048026995206, 0.005110359234903513
random_103x96_f64, 8x8x1, [1, 4, 0], standard, 0, 0.022590301680163682, 0.006826427579746964
random_103x96_f64, 8x8x1, [1, 5, 0], standard, 0.0000623200986800132, 0.02669727058412552, 0.008763975180249567
random_103x96_f64, 8x8x1, [1, 6, 0], standard, 0.00008122099097818136, 0.035768993234691626, 0.01111228714859604
random_103x96_f64, 8x8x1, [1, 7, 0], standard, 0.00015344432232766714, 0.06363089450706655, 0.013935267547494558
random_103x96_f64, 8x8x1, [2, 0, 0], standard, 0.0015209192809249594, 0.005397116435536531, 0.0039162971399838015
random_103x96_f64, 8x8x1, [2, 1, 0], standard, 0, 0.013630289962748066, 0.00454432432369295
random_103x96_f64, 8x8x1, [2, 2, 0], standard, 0, 0.010459017374419788, 0.0010923880174578727
random_103x96_f64, 8x8x1, [2, 3, 0], standard, 0, 0.011119171977043152, 0.0013787954535690085
random_103x96_f64, 8x8x1, [2, 4, 0], standard, 0, 0.031048543618193647, 0.0026977495234903107
random_103x96_f64, 8x8x1, [2, 5, 0], standard, 0, 0.037813827661531296, 0.003557322441511564
random_103x96_f64, 8x8x1, [2, 6, 0], standard, 0, 0.0492346653980868, 0.004671379990343535
random_103x96_f64, 8x8x1, [2, 7, 0], standard, 0, 0.07420473865100313, 0.007050345363538891
random_103x96_f64, 8x8x1, [3, 0, 0], standard, 0.0012126867562377575, 0.01158549721973634, 0.004604975907345845
random_103x96_f64, 8x8x1, [3, 1, 0], standard, 0, 0.01848286675522104, 0.0047739637595107165
random_103x96_f64, 8x8x1, [3, 2, 0], standard, 0, 0.010459017374419788, 0.0006242217242616417
random_103x96_f64, 8x8x1, [3, 3, 0], standard, 0, 0.011119171977043152, 0.0007878831163251477
random_103x96_f64, 8x8x1, [3, 4, 0], standard, 0, 0.031048543618193647, 0.0015415711562801774
random_103x96_f64, 8x8x1, [3, 5, 0], standard, 0, 0.037813827661531296, 0.0020327556808637506
random_103x96_f64, 8x8x1, [3, 6, 0], standard, 0, 0.0492346653980868, 0.0026693599944820202
random_103x96_f64, 8x8x1, [3, 7, 0], standard, 0, 0.07420473865100313, 0.00402876877916508
random_103x96_f64, 8x8x1, [4, 0, 0], standard, 0.0014223601125801233, 0.01889680457922316, 0.00671583923597346
random_103x96_f64, 8x8x1, [4, 1, 0], standard, 0, 0.033919558743946254, 0.006355457442843322
random_103x96_f64, 8x8x1, [4, 2, 0], standard, 0, 0.010459017374419788, 0.0003361193899870378
random_103x96_f64, 8x8x1, [4, 3, 0], standard, 0, 0.011119171977043152, 0.0004242447549443103
random_103x96_f64, 8x8x1, [4, 4, 0], standard, 0, 0.031048543618193647, 0.0008300767764585571
random_103x96_f64, 8x8x1, [4, 5, 0], standard, 0, 0.037813827661531296, 0.0010945607512343272
random_103x96_f64, 8x8x1, [4, 6, 0], standard, 0, 0.0492346653980868, 0.001437347689336473
random_103x96_f64, 8x8x1, [4, 7, 0], standard, 0, 0.07420473865100313, 0.002169337034935043
random_103x96_f64, 8x8x1, [5, 0, 0], standard, 0.0014223601125801233, 0.01889680457922327, 0.006887824840258614
random_103x96_f64, 8x8x1, [5, 1, 0], standard, 0.0000848178363715979, 0.04421030850304908, 0.012074606884151507
random_103x96_f64, 8x8x1, [5, 2, 0], standard, 0.00032446665378910167, 0.06108871358446777, 0.017064837428430724
random_103x96_f64, 8x8x1, [5, 3, 0], standard, 0, 0.014652393758296967, 0.00030347122412779855
random_103x96_f64, 8x8x1, [5, 4, 0], standard, 0, 0.04099586481849349, 0.0005699702852970772
random_103x96_f64, 8x8x1, [5, 5, 0], standard, 0, 0.06321635718146956, 0.0008202399401806101
random_103x96_f64, 8x8x1, [5, 6, 0], standard, 0, 0.07759048044681549, 0.0012508875383939757
random_103x96_f64, 8x8x1, [5, 7, 0], standard, 0, 0.14928308129310608, 0.001906520131832132
random_103x96_f64, 8x8x1, [6, 0, 0], standard, 0.0014223601125801233, 0.01889680457922327, 0.006817971044279735
random_103x96_f64, 8x8x1, [6, 1, 0], standard, 0.001014091734153455, 0.08237857662606984, 0.01659611281073198
random_103x96_f64, 8x8x1, [6, 2, 0], standard, 0.00025817759645485605, 0.12153628926413762, 0.026456731401431653
random_103x96_f64, 8x8x1, [6, 3, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 4, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 5, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 6, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [6, 7, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 0, 0], standard, 0.0014223601125801233, 0.01889680457922327, 0.006856508308895004
random_103x96_f64, 8x8x1, [7, 1, 0], standard, 0.00007867071932798897, 0.0892904538583631, 0.020794701955392708
random_103x96_f64, 8x8x1, [7, 2, 0], standard, 0.0003268266251931773, 0.16665840335190296, 0.037265228818370695
random_103x96_f64, 8x8x1, [7, 3, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 4, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 5, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 6, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [7, 7, 0], standard, 0, 0, 0
random_103x96_f64, 8x8x1, [0, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 8x8x1, [0, 1, 0], greedy, 0, 0, 0
random_103x96_f64, 8x8x1, [0, 2, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 8x8x1, [0, 3, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000003700743415417188
random_103x96_f64, 8x8x1, [0, 4, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000004163336342344337
random_103x96_f64, 8x8x1, [0, 5, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000006013708050052931
random_103x96_f64, 8x8x1, [0, 6, 0], greedy, 0, 0.0000000000000002220446049250313, 0.000000000000000055511151231257815
random_103x96_f64, 8x8x1, [0, 7, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006591949208711866
random_103x96_f64, 8x8x1, [1, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000005551115123125783
random_103x96_f64, 8x8x1, [1, 1, 0], greedy, 0, 0.00000000000000011102230246251565, 0.000000000000000027755575615628914
random_103x96_f64, 8x8x1, [1, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005551115123125783
random_103x96_f64, 8x8x1, [1, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006013708050052931
random_103x96_f64, 8x8x1, [1, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005088522196198634
random_103x96_f64, 8x8x1, [1, 5, 0], greedy, 0.00003926832085610066, 0.016421708152987657, 0.005414007564421552
random_103x96_f64, 8x8x1, [1, 6, 0], greedy, 0.00031885900534689426, 0.04506997789781625, 0.010056106397112475
random_103x96_f64, 8x8x1, [1, 7, 0], greedy, 0.00017326110257553928, 0.08345733903563368, 0.01938867278531534
random_103x96_f64, 8x8x1, [2, 0, 0], greedy, 0, 0, 0
random_103x96_f64, 8x8x1, [2, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000006245004513516506
random_103x96_f64, 8x8x1, [2, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004625929269271486
random_103x96_f64, 8x8x1, [2, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.0000000000000000485722573273506
random_103x96_f64, 8x8x1, [2, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005204170427930421
random_103x96_f64, 8x8x1, [2, 5, 0], greedy, 0, 0.034657029279818174, 0.008474621952498462
random_103x96_f64, 8x8x1, [2, 6, 0], greedy, 0, 0.05094980681315053, 0.012566619534077816
random_103x96_f64, 8x8x1, [2, 7, 0], greedy, 0, 0.11857613013125956, 0.01867311474416056
random_103x96_f64, 8x8x1, [3, 0, 0], greedy, 0, 0.00000000000000011102230246251565, 0.00000000000000001586032892321652
random_103x96_f64, 8x8x1, [3, 1, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000005154606900045369
random_103x96_f64, 8x8x1, [3, 2, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004229421046191072
random_103x96_f64, 8x8x1, [3, 3, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004361590453884543
random_103x96_f64, 8x8x1, [3, 4, 0], greedy, 0, 0.0000000000000002220446049250313, 0.00000000000000004559844565424751
random_103x96_f64, 8x8x1, [3, 5, 0], greedy, 0, 0.08524937508627783, 0.012242489596015775
random_103x96_f64, 8x8x1, [3, 6, 0], greedy, 0, 0.15611500246450294, 0.02024983166853737
random_103x96_f64, 8x8x1, [3, 7, 0], greedy, 0, 0.20768568137039745, 0.031941383776332564
